#{"t_start": 1701214375.3774838, "env_id": "None"}
r,l,t
-4900.36,100,120.476562
-5896.56,100,120.6834
-4129.95,90,120.873957
-1416.32,26,120.936179
-6105.95,100,121.144172
-4902.74,100,121.366779
-3045.88,53,121.473253
-5693.34,100,121.683187
-1644.03,32,121.743376
-6096.19,100,121.964692
-4288.35,100,122.202873
-3732.11,71,122.365129
-1018.14,27,122.423218
-6303.55,100,122.652358
-5094.28,100,122.890932
-1469.85,38,122.974805
-4597.49,100,123.184729
-4016.79,88,123.366273
-4493.59,100,123.578557
-5198.1,100,123.785794
-4889.91,100,123.999818
-3799.15,100,124.203216
-6089.26,100,124.40421
-701.9,25,124.462963
-5689.82,100,124.681314
-5087.29,81,124.851066
-2167.14,37,124.937355
-164.73,16,124.978796
166.72,9,124.996397
-3324.9,48,125.100298
-5111.31,100,125.312551
-523.15,29,125.369395
-911.86,26,125.43064
-5197.9,100,125.689727
-6294.66,100,125.938119
-5904.41,100,126.171343
-3985.15,80,126.357831
-5090.32,100,126.578681
-468.64,16,126.613447
-3041.62,72,126.778112
-2179.61,39,126.859742
-5198.84,100,127.108405
295.97,3,127.117299
-5655.29,94,127.377384
-5706.7,100,127.622095
-2183.51,40,127.716603
-5897.96,100,127.944223
297.97,3,127.945222
-5996.77,100,128.173954
-4542.18,91,128.411414
-4894.62,100,128.654081
-5195.93,100,128.890021
-5591.64,100,129.100254
-2704.32,45,129.201931
-5595.49,100,129.444817
-5898.71,100,129.683706
-4897.61,100,129.934561
-6004.0,100,130.160674
-5106.14,100,130.393188
-5694.83,100,130.617254
-5606.18,100,130.828799
-4802.45,100,131.050989
-5098.93,100,131.271291
401.98,2,131.279036
-6599.79,100,131.499223
-5703.17,100,131.728841
-5393.02,100,131.958094
-5496.48,100,132.173208
-3597.19,100,132.390155
-6199.62,100,132.60421
-5446.74,92,132.798463
-153.43,13,132.825984
-31.29,9,132.854419
-5792.03,100,133.090189
-6185.73,100,133.309672
180.86,6,133.32621
-481.01,19,133.366694
-6591.74,100,133.576603
-5002.16,100,133.791732
-5196.34,100,134.004842
399.95,3,134.005842
-4605.12,100,134.233251
-2808.21,66,134.383709
-6102.86,100,134.596461
-5383.47,100,134.818181
-6504.85,100,135.033298
-5292.83,100,135.265171
-5594.54,100,135.485021
-3909.77,100,135.706556
-5306.38,100,135.920946
-4795.73,100,136.138962
-615.71,28,136.208949
-5098.38,100,136.41883
-4795.42,100,136.638342
-4395.79,100,136.843422
-5499.04,100,137.048064
-42.35,11,137.072205
496.94,3,137.077034
-5297.06,100,137.300242
-4597.36,100,137.521184
-4796.51,100,137.753353
-5295.88,100,137.962939
-5303.12,100,138.176092
-5099.58,100,138.387084
-3420.18,67,138.522149
-4590.93,100,138.739918
-3907.38,100,138.944887
392.93,4,138.952261
-334.09,9,138.970961
495.94,3,138.979057
-4486.36,100,139.178526
-2476.68,38,139.256219
-4768.66,76,139.402755
181.83,7,139.412276
-3383.6,100,139.616777
-822.4,28,139.668452
-5901.99,100,139.86975
-4991.56,100,140.074455
-4701.6,100,140.289189
-4604.81,100,140.521075
-4279.22,81,140.703759
-5297.4,100,140.911355
-5290.94,100,141.119277
-5088.19,100,141.331552
-5307.46,100,141.538377
-2683.44,62,141.674703
-5594.16,100,141.887892
-5206.36,100,142.104747
-6091.33,100,142.316354
-5603.93,100,142.52638
-4998.74,100,142.734902
-1978.61,39,142.817233
-2853.98,54,142.935212
-1226.99,28,143.000496
506.99,1,143.007921
283.85,6,143.020966
-5394.29,100,143.246368
-276.06,19,143.292892
-1791.74,42,143.378481
-5189.63,100,143.594705
-5703.78,100,143.840992
-5405.69,100,144.121391
-5504.3,100,144.394827
-3996.11,100,144.669309
-4697.09,100,144.936824
-5591.26,100,145.208733
-6476.08,97,145.461655
-6898.74,100,145.828897
-72.22,18,145.87338
-2020.08,47,146.00824
-5894.83,100,146.253718
-1354.84,36,146.349853
-672.67,19,146.395835
